OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,LABEL
CUBESAT XI-IV (CO-57),2003-031J,2026-06-22T23:59:28.134816,14.23623408,0.00094237,98.6767,182.1936,179.7329,180.3856,0,U,27848,999,19220,9.6660658e-05,1.77e-06,0.0,Satellite
SCISAT 1,2003-036A,2026-06-24T05:58:08.251104,14.81454091,0.00083296,73.9287,157.3125,227.6176,132.4296,0,U,27858,999,23249,7.0156746e-05,5.13e-06,0.0,Satellite
COSMOS 2400,2003-037A,2026-06-24T07:05:22.267104,12.45190717,0.00220471,82.4721,325.3931,42.1758,318.1014,0,U,27868,999,3842,8.4374168e-05,2.2e-07,0.0,Satellite
COSMOS 2401,2003-037B,2026-06-24T06:08:41.918208,12.45503533,0.00227212,82.4713,321.7938,37.5948,322.6717,0,U,27869,999,3865,-0.00036684828,-4.3e-07,0.0,Satellite
USA 170,2003-040A,2026-06-22T19:41:47.513184,1.00270562,0.0001933999999999,10.5125,47.8969,53.5632,129.1853,0,U,27875,999,3305,0.0,1.22e-06,0.0,Satellite
MOZHAETS 4 (RS22),2003-042A,2026-06-24T07:05:40.305696,14.73475746,0.00099877,98.3477,359.855,244.1261,288.9539,0,U,27939,999,21659,6.0455800000000005e-05,3.39e-06,0.0,Satellite
LARETS,2003-042F,2026-06-24T05:22:46.140960,14.63869927,0.00126297,98.4161,337.5767,20.0354,340.1341,0,U,27944,999,21439,1.5191638e-05,2.9e-07,0.0,Satellite
GALAXY 13 (HORIZONS-1),2003-044A,2026-06-24T04:21:03.112992,1.00274159,0.00021074,1.4366,83.7739,4.211,99.6267,0,U,27954,999,4664,0.0,1.39e-06,0.0,Satellite
DMSP 5D-3 F16 (USA 172),2003-048A,2026-06-24T07:10:38.917056,14.14483411,0.00080216,98.9888,199.1745,122.3601,248.2272,0,U,28054,999,17049,1.2536707e-05,-2.1e-07,0.0,Satellite
CHUANGXIN 1 (CX-1),2003-049B,2026-06-23T11:03:10.006272,14.48586969,0.00128134,98.5076,73.5764,158.5862,201.5869,0,U,28058,999,19718,5.323235700000001e-05,1.55e-06,0.0,Satellite
YAMAL 202,2003-053A,2026-06-23T14:23:04.184736,1.00270908,0.00031506,6.3593,70.8602,10.7552,209.4544,0,U,28089,999,8276,0.0,-7.9e-07,0.0,Satellite
UFO 11 (USA 174),2003-057A,2026-06-24T02:44:22.807968,1.00271676,0.00023732,8.9481,33.7923,69.7027,285.481,0,U,28117,999,8251,0.0,-1.05e-06,0.0,Satellite
NAVSTAR 53 (USA 175),2003-058A,2026-06-22T18:10:23.163456,1.92678563,0.00016623,55.0304,23.0606,342.5976,17.4396,0,U,28129,999,16457,0.0,-1.05e-06,0.0,Satellite
USA 176 (DSP 22),2004-004A,2026-06-23T23:39:38.761056,1.00274728,0.00013012,12.0716,26.0228,320.1352,231.6032,0,U,28158,999,3300,0.0,-2.99e-06,0.0,Satellite
ABS-4 (MOBISAT-1),2004-007A,2026-06-23T23:23:06.944352,1.00275243,0.00050129,6.058,71.9251,19.6566,232.3703,0,U,28184,999,5240,0.0,4e-07,0.0,Satellite
